Start Date, End Date, Duration, Start Elevation, End Elevation, Percent Difference, Rate of Change, Drawdown
1/29/97,3/8/97,40,6392.73,6384.38,-0.001306171228880221,-0.2141025641025501,-8.349999999999454
3/20/97,3/29/97,11,6393.23,6381.2,-0.0018816779624696352,-1.2029999999999745,-12.029999999999745
3/30/97,4/8/97,11,6381.2,6375.82,-0.0008431016109822775,-0.5380000000000109,-5.380000000000109
4/21/97,4/28/97,8,6387.22,6386.76,-7.201881256634911e-05,-0.06571428571429092,-0.4600000000000364
4/29/97,5/5/97,7,6388.32,6387.34,-0.00015340496405934009,-0.16333333333326058,-0.9799999999995634
8/20/97,9/23/97,36,6447.94,6433.2,-0.002286001420608719,-0.4211428571428509,-14.739999999999782
9/24/97,12/14/97,83,6433.2,6391.71,-0.006449356463346357,-0.5059756097560949,-41.48999999999978
3/18/98,3/23/98,6,6392.45,6390.66,-0.0002800178335379962,-0.3579999999999927,-1.7899999999999636
3/26/98,4/4/98,11,6396.77,6379.56,-0.0026904203215060156,-1.7210000000000036,-17.210000000000036
4/12/98,4/20/98,10,6386.36,6382.0,-0.0006827050150633025,-0.48444444444440804,-4.359999999999673
4/25/98,4/29/98,5,6393.61,6391.44,-0.0003394013710564255,-0.5425000000000182,-2.1700000000000728
5/14/98,5/21/98,8,6433.69,6433.28,-6.372703689482312e-05,-0.058571428571407784,-0.4099999999998545
5/31/98,6/12/98,14,6449.0,6448.2,-0.00012405024034736889,-0.06153846153847553,-0.8000000000001819
8/2/98,10/11/98,72,6447.97,6378.87,-0.010716551100578998,-0.9732394366197235,-69.10000000000036
12/6/98,12/28/98,24,6390.32,6388.51,-0.0002832409018639897,-0.07869565217389089,-1.8099999999994907
5/19/99,5/24/99,6,6448.49,6448.16,-5.11747711479629e-05,-0.06599999999998545,-0.32999999999992724
7/23/99,10/5/99,74,6447.44,6415.62,-0.0049352921469606095,-0.43589041095890013,-31.81999999999971
10/12/99,11/9/99,30,6417.18,6392.87,-0.0037882683671021226,-0.8382758620689793,-24.3100000000004
3/15/00,4/23/00,41,6418.15,6387.64,-0.004753706286079215,-0.7627499999999827,-30.50999999999931
